epoch,loss,mae,val_loss,val_mae
1,278.4088134765625,9.355502128601074,245.7234649658203,8.45841121673584
2,277.3434143066406,9.342731475830078,245.3706817626953,8.40490436553955
3,276.3533630371094,9.33094596862793,245.0986785888672,8.388100624084473
4,275.4490966796875,9.318690299987793,244.2820281982422,8.372812271118164
5,274.5143737792969,9.317116737365723,243.4318084716797,8.367051124572754
6,273.3301696777344,9.309721946716309,242.3177490234375,8.35783863067627
7,271.78424072265625,9.274558067321777,241.4306182861328,8.344711303710938
8,269.9426574707031,9.243128776550293,240.4408416748047,8.329034805297852
9,268.35797119140625,9.178903579711914,239.5035858154297,8.315230369567871
10,264.24267578125,9.073795318603516,238.4732666015625,8.291553497314453
11,261.9104309082031,8.959840774536133,237.51416015625,8.25928783416748
12,257.906494140625,8.768257141113281,235.7587432861328,8.212008476257324
13,253.4745330810547,8.61086654663086,233.6950225830078,8.170950889587402
14,245.64886474609375,8.311793327331543,233.06024169921875,8.10671615600586
15,236.4989013671875,8.031220436096191,229.0890655517578,8.034773826599121
16,228.5689697265625,7.702958583831787,224.4285125732422,7.940855026245117
17,217.92410278320312,7.362461566925049,222.9518585205078,7.855139255523682
18,207.59246826171875,7.004146575927734,221.2475128173828,7.731055736541748
19,195.60145568847656,6.555821418762207,214.1327362060547,7.6061320304870605
20,183.18463134765625,6.288829326629639,207.3071746826172,7.541650295257568
21,169.43673706054688,5.917813777923584,203.32615661621094,7.535930633544922
22,154.9235076904297,5.53515100479126,201.9582977294922,7.363706588745117
23,142.29800415039062,5.151844024658203,193.99888610839844,7.252809047698975
24,131.32798767089844,4.945301055908203,195.66578674316406,7.079984188079834
25,121.52387237548828,4.635064601898193,193.9275665283203,7.010364055633545
26,114.63645935058594,4.53417444229126,185.25892639160156,7.0988945960998535
27,102.09419250488281,4.282651424407959,183.04725646972656,6.988983631134033
28,97.59707641601562,4.001049995422363,183.23992919921875,6.881356716156006
29,85.89324188232422,3.9354326725006104,181.33843994140625,6.92737340927124
30,84.72039794921875,3.6890180110931396,181.9489288330078,6.743314266204834
31,75.85025024414062,3.731663942337036,176.2357940673828,6.8427557945251465
32,61.463478088378906,3.3364405632019043,174.11415100097656,7.148152828216553
33,53.78544998168945,3.251965284347534,176.1998291015625,7.047204494476318
34,63.249908447265625,3.5577757358551025,171.0884246826172,6.801849365234375
35,56.21950912475586,3.391387462615967,176.43994140625,6.630062580108643
36,52.88428497314453,3.2888622283935547,173.88795471191406,6.989307403564453
37,48.3507194519043,3.152052402496338,170.1992645263672,6.976126194000244
38,44.46171188354492,3.2432703971862793,168.0529022216797,6.739141464233398
39,43.335670471191406,3.013873338699341,169.3281707763672,6.822023868560791
40,38.80063247680664,2.9513230323791504,171.6846466064453,7.1261725425720215
41,39.46003723144531,3.09207820892334,169.70960998535156,6.931092739105225
42,34.769676208496094,3.037583351135254,167.83099365234375,6.753195285797119
43,43.90525817871094,3.0920674800872803,166.9676513671875,7.189168453216553
44,37.22538757324219,2.8887152671813965,170.83062744140625,6.954061031341553
45,32.42863464355469,2.8772265911102295,169.62010192871094,6.788005828857422
46,28.464845657348633,2.8173835277557373,166.7626190185547,6.956359386444092
47,27.506669998168945,2.7396082878112793,170.1642303466797,6.927253723144531
48,27.136266708374023,2.959911823272705,168.18629455566406,7.030223846435547
49,23.326269149780273,2.768744468688965,168.62188720703125,6.9979729652404785
50,20.953353881835938,2.7184629440307617,171.7544403076172,6.745466709136963
51,23.47823715209961,2.855088233947754,170.19639587402344,6.7766804695129395
52,18.68252182006836,2.6432743072509766,167.73402404785156,6.993600845336914
